,SYMBOL,Gene,Feature
133,MCRS1,ENSG00000187778,ENST00000357123
134,MCRS1,ENSG00000187778,ENST00000547182
135,MCRS1,ENSG00000187778,ENST00000552596
136,MCRS1,ENSG00000187778,ENST00000549000
137,MCRS1,ENSG00000187778,ENST00000343810
138,MCRS1,ENSG00000187778,ENST00000550165
139,MCRS1,ENSG00000187778,ENST00000551598
140,KCNH3,ENSG00000135519,ENST00000257981
141,MCRS1,ENSG00000187778,ENST00000551625
142,MCRS1,ENSG00000187778,ENST00000548602
143,MCRS1,ENSG00000187778,ENST00000551625
144,KCNH3,ENSG00000135519,ENST00000257981
145,MCRS1,ENSG00000187778,ENST00000548602
146,MCRS1,ENSG00000187778,ENST00000549000
147,MCRS1,ENSG00000187778,ENST00000343810
148,MCRS1,ENSG00000187778,ENST00000550165
149,MCRS1,ENSG00000187778,ENST00000551598
150,MCRS1,ENSG00000187778,ENST00000552596
151,MCRS1,ENSG00000187778,ENST00000547182
152,KCNH3,ENSG00000135519,ENST00000548675
153,MCRS1,ENSG00000187778,ENST00000546244
154,MCRS1,ENSG00000187778,ENST00000553173
155,MCRS1,ENSG00000187778,ENST00000357123
156,MCRS1,ENSG00000187778,ENST00000548646
157,MCRS1,ENSG00000187778,ENST00000548334
158,FBXO21,ENSG00000135108,ENST00000330622
159,FBXO21,ENSG00000135108,ENST00000549689
160,FBXO21,ENSG00000135108,ENST00000550180
161,FBXO21,ENSG00000135108,ENST00000427718
162,FBXO21,ENSG00000135108,ENST00000622495
163,SYNDIG1L,ENSG00000183379,ENST00000554953
164,SYNDIG1L,ENSG00000183379,ENST00000331628
165,SYNDIG1L,ENSG00000183379,ENST00000554823
166,AHNAK2,ENSG00000185567,ENST00000555122
167,AHNAK2,ENSG00000185567,ENST00000557457
168,AHNAK2,ENSG00000185567,ENST00000333244
169,RYR3,ENSG00000198838,ENST00000389232
170,RYR3,ENSG00000198838,ENST00000415757
171,RYR3,ENSG00000198838,ENST00000622037
172,C15orf39,ENSG00000167173,ENST00000394987
173,C15orf39,ENSG00000167173,ENST00000563905
174,C15orf39,ENSG00000167173,ENST00000564848
175,C15orf39,ENSG00000167173,ENST00000562637
176,RP11-69H7.3,ENSG00000261779,ENST00000563568
177,C15orf39,ENSG00000167173,ENST00000567617
178,C15orf39,ENSG00000167173,ENST00000360639
179,C15orf39,ENSG00000167173,ENST00000565074
180,ETFA,ENSG00000140374,ENST00000267950
181,ETFA,ENSG00000140374,ENST00000560899
182,TYRO3P,ENSG00000259581,ENST00000558165
183,ETFA,ENSG00000140374,ENST00000560726
184,ETFA,ENSG00000140374,ENST00000433983
185,ETFA,ENSG00000140374,ENST00000557943
186,ETFA,ENSG00000140374,ENST00000560044
187,ETFA,ENSG00000140374,ENST00000559075
188,ETFA,ENSG00000140374,ENST00000560595
189,ETFA,ENSG00000140374,ENST00000559602
190,ETFA,ENSG00000140374,ENST00000559973
191,ETFA,ENSG00000140374,ENST00000560816
192,MRPL28,ENSG00000086504,ENST00000469744
193,TMEM8A,ENSG00000129925,ENST00000448854
194,TMEM8A,ENSG00000129925,ENST00000250930
195,MRPL28,ENSG00000086504,ENST00000450882
196,MRPL28,ENSG00000086504,ENST00000461550
197,MRPL28,ENSG00000086504,ENST00000481453
198,MRPL28,ENSG00000086504,ENST00000429738
199,TMEM8A,ENSG00000129925,ENST00000431232
200,MRPL28,ENSG00000086504,ENST00000389675
201,TMEM8A,ENSG00000129925,ENST00000424078
202,MRPL28,ENSG00000086504,ENST00000483764
203,MRPL28,ENSG00000086504,ENST00000447696
204,MRPL28,ENSG00000086504,ENST00000441883
205,MRPL28,ENSG00000086504,ENST00000199706
206,SULT1A2,ENSG00000197165,ENST00000533150
207,SULT1A2,ENSG00000197165,ENST00000395630
208,CCDC101,ENSG00000176476,ENST00000565945
209,CCDC101,ENSG00000176476,ENST00000564023
210,SULT1A2,ENSG00000197165,ENST00000526384
211,CCDC101,ENSG00000176476,ENST00000567447
212,CCDC101,ENSG00000176476,ENST00000317058
213,CCDC101,ENSG00000176476,ENST00000569581
214,SULT1A2,ENSG00000197165,ENST00000534108
215,SULT1A2,ENSG00000197165,ENST00000335715
216,CCDC101,ENSG00000176476,ENST00000567564
217,,,ENSR00001876459
218,,,
219,SHC1P2,ENSG00000267691,ENST00000589195
220,RNF152,ENSG00000176641,ENST00000591306
221,RNF152,ENSG00000176641,ENST00000312828
222,FCHO1,ENSG00000130475,ENST00000600209
223,FCHO1,ENSG00000130475,ENST00000600393
224,FCHO1,ENSG00000130475,ENST00000600058
225,FCHO1,ENSG00000130475,ENST00000252771
226,FCHO1,ENSG00000130475,ENST00000597718
227,FCHO1,ENSG00000130475,ENST00000599766
228,FCHO1,ENSG00000130475,ENST00000600676
229,FCHO1,ENSG00000130475,ENST00000595023
230,FCHO1,ENSG00000130475,ENST00000596951
231,FCHO1,ENSG00000130475,ENST00000595033
232,FCHO1,ENSG00000130475,ENST00000597512
233,FCHO1,ENSG00000130475,ENST00000597474
234,FCHO1,ENSG00000130475,ENST00000602111
235,FCHO1,ENSG00000130475,ENST00000593833
236,FCHO1,ENSG00000130475,ENST00000595549
237,FCHO1,ENSG00000130475,ENST00000596507
238,FCHO1,ENSG00000130475,ENST00000596522
239,FCHO1,ENSG00000130475,ENST00000594202
240,FCHO1,ENSG00000130475,ENST00000594068
241,FCHO1,ENSG00000130475,ENST00000595594
242,FCHO1,ENSG00000130475,ENST00000597076
243,FCHO1,ENSG00000130475,ENST00000596536
244,LENG8,ENSG00000167615,ENST00000616932
245,LENG8,ENSG00000167615,ENST00000421200
246,LENG8,ENSG00000167615,ENST00000443957
247,LENG8,ENSG00000167615,ENST00000436479
248,LENG8,ENSG00000167615,ENST00000376514
249,LENG8,ENSG00000167615,ENST00000439657
250,LENG8,ENSG00000167615,ENST00000610347
251,LENG8,ENSG00000167615,ENST00000326764
252,LENG8,ENSG00000167615,ENST00000462541
253,DIDO1,ENSG00000101191,ENST00000395340
254,DIDO1,ENSG00000101191,ENST00000395343
255,DIDO1,ENSG00000101191,ENST00000266070
256,BACE2,ENSG00000182240,ENST00000328735
257,BACE2,ENSG00000182240,ENST00000347667
258,PLAC4,ENSG00000225745,ENST00000430327
259,PLAC4,ENSG00000280109,ENST00000623119
260,PLAC4,ENSG00000280109,ENST00000624999
261,PLAC4,ENSG00000225745,ENST00000414699
262,BACE2,ENSG00000182240,ENST00000330333
263,BACE2-IT1,ENSG00000224388,ENST00000433378
264,PLAC4,ENSG00000225745,ENST00000440221
265,CU104787.1,ENSG00000280363,ENST00000623473
266,BAGE5,ENSG00000279973,ENST00000624155
267,,,ENSR00001966978
268,MYO18B,ENSG00000133454,ENST00000335473
269,MYO18B,ENSG00000133454,ENST00000539302
270,MYO18B,ENSG00000133454,ENST00000543971
271,MYO18B,ENSG00000133454,ENST00000536101
272,MYO18B,ENSG00000133454,ENST00000418374
273,MYO18B,ENSG00000133454,ENST00000407587
274,ARSA,ENSG00000100299,ENST00000610191
275,ARSA,ENSG00000100299,ENST00000453344
276,ARSA,ENSG00000100299,ENST00000216124
277,ARSA,ENSG00000100299,ENST00000551731
278,ARSA,ENSG00000100299,ENST00000395619
279,ARSA,ENSG00000100299,ENST00000356098
280,ARSA,ENSG00000100299,ENST00000608497
281,ARSA,ENSG00000100299,ENST00000395621
282,NUDT10,ENSG00000122824,ENST00000376006
283,NUDT10,ENSG00000122824,ENST00000356450
284,,,ENSR00002135450
285,TNFRSF1B,ENSG00000028137,ENST00000536782
286,TNFRSF1B,ENSG00000028137,ENST00000489921
287,TNFRSF1B,ENSG00000028137,ENST00000376259
288,MIR4632,ENSG00000263676,ENST00000584158
289,TNFRSF1B,ENSG00000028137,ENST00000492361
290,STX12,ENSG00000117758,ENST00000472285
291,STX12,ENSG00000117758,ENST00000373943
292,RP3-426I6.6,ENSG00000270031,ENST00000602843
293,RNU6-1245P,ENSG00000223062,ENST00000411130
294,ITGA10,ENSG00000143127,ENST00000369304
295,ITGA10,ENSG00000143127,ENST00000539363
296,RP11-315I20.3,ENSG00000244619,ENST00000415065
297,LPIN1,ENSG00000134324,ENST00000396097
298,LPIN1,ENSG00000134324,ENST00000425416
299,LPIN1,ENSG00000134324,ENST00000475922
300,LPIN1,ENSG00000134324,ENST00000396099
301,LPIN1,ENSG00000134324,ENST00000256720
302,LPIN1,ENSG00000134324,ENST00000449576
303,LPIN1,ENSG00000134324,ENST00000404113
304,LPIN1,ENSG00000134324,ENST00000487576
305,,,ENSR00001919208
306,ITSN2,ENSG00000198399,ENST00000479575
307,AC009228.1,ENSG00000242628,ENST00000413989
308,AC009228.1,ENSG00000242628,ENST00000430105
309,ITSN2,ENSG00000198399,ENST00000427234
310,ITSN2,ENSG00000198399,ENST00000361999
311,ITSN2,ENSG00000198399,ENST00000449392
