#node	identifier	node_degree
CCDC40	9606.ENSP00000380679	8
CCDC74A	9606.ENSP00000295171	0
CCDC9	9606.ENSP00000221922	1
CCDC9B	9606.ENSP00000453969	0
CCL3L1	9606.ENSP00000480558	1
CCPG1	9606.ENSP00000403400	3
CCSER2	9606.ENSP00000361160	1
CD14	9606.ENSP00000385519	11
CD1C	9606.ENSP00000357152	20
CD200R1L	9606.ENSP00000381272	0
CD274	9606.ENSP00000370989	31
CD276	9606.ENSP00000320084	8
CD2AP	9606.ENSP00000352264	19
CD36	9606.ENSP00000415743	46
CD38	9606.ENSP00000226279	24
CDCA5	9606.ENSP00000275517	12
CDH1	9606.ENSP00000261769	80
CDH23	9606.ENSP00000224721	10
CDH26	9606.ENSP00000339390	2
CDK18	9606.ENSP00000423665	7
CDK20	9606.ENSP00000322343	4
CDRT1	9606.ENSP00000379242	2
CDRT4	9606.ENSP00000482523	2
CELA3B	9606.ENSP00000338369	2
CELF3	9606.ENSP00000290583	1
CELF5	9606.ENSP00000292672	1
CELSR2	9606.ENSP00000271332	1
CELSR3	9606.ENSP00000164024	0
CEP78	9606.ENSP00000365782	3
CERS3	9606.ENSP00000284382	4
CES1	9606.ENSP00000353720	4
CFAP47	9606.ENSP00000367922	6
CFAP74	9606.ENSP00000417061	4
CFTR	9606.ENSP00000003084	28
CGRRF1	9606.ENSP00000216420	1
CHAT	9606.ENSP00000337103	8
CHD1L	9606.ENSP00000358262	14
CHD9	9606.ENSP00000396345	8
CHDH	9606.ENSP00000319851	5
CHEK1	9606.ENSP00000391090	35
CHFR	9606.ENSP00000392395	7
CHODL	9606.ENSP00000299295	2
CHRDL2	9606.ENSP00000263671	2
CIB4	9606.ENSP00000288861	0
CIT	9606.ENSP00000376306	9
CLASP2	9606.ENSP00000327760	8
CLDN11	9606.ENSP00000064724	3
CLEC4D	9606.ENSP00000299665	0
CLHC1	9606.ENSP00000384869	5
CLIP1	9606.ENSP00000479322	13
CLN3	9606.ENSP00000454229	5
CNOT9	9606.ENSP00000486540	7
CNTFR	9606.ENSP00000368265	6
CNTN3	9606.ENSP00000263665	5
CNTN5	9606.ENSP00000435637	5
COL11A1	9606.ENSP00000359114	16
COL11A2	9606.ENSP00000363840	16
COL12A1	9606.ENSP00000325146	18
COL13A1	9606.ENSP00000381949	10
COL1A1	9606.ENSP00000225964	29
COL22A1	9606.ENSP00000303153	12
COL2A1	9606.ENSP00000369889	16
COL4A6	9606.ENSP00000378340	13
COL5A1	9606.ENSP00000360882	22
COL5A2	9606.ENSP00000364000	19
COMMD5	9606.ENSP00000394331	18
COMMD6	9606.ENSP00000348054	11
COP1	9606.ENSP00000356641	10
COQ3	9606.ENSP00000254759	4
COX6A2	9606.ENSP00000287490	15
CPAMD8	9606.ENSP00000498697	0
CPD	9606.ENSP00000225719	1
CPED1	9606.ENSP00000309772	0
CPN2	9606.ENSP00000319464	1
CPNE2	9606.ENSP00000290776	0
CPQ	9606.ENSP00000220763	1
CRABP2	9606.ENSP00000482841	5
CRACR2A	9606.ENSP00000409382	1
CRACR2B	9606.ENSP00000435299	2
CRAT	9606.ENSP00000315013	5
CRHR1	9606.ENSP00000381333	6
CRLS1	9606.ENSP00000368140	6
CROCC	9606.ENSP00000364691	6
CRYBB1	9606.ENSP00000497249	5
CRYZL1	9606.ENSP00000370966	0
CSH1	9606.ENSP00000316416	11
CSK	9606.ENSP00000220003	16
CSMD1	9606.ENSP00000489225	10
CSPG4	9606.ENSP00000312506	7
CTDNEP1	9606.ENSP00000460683	4
CTSB	9606.ENSP00000345672	12
CTTN	9606.ENSP00000365745	35
CUL7	9606.ENSP00000438788	46
CUX2	9606.ENSP00000261726	7
CWH43	9606.ENSP00000226432	1
CXCL11	9606.ENSP00000306884	10
CYP11A1	9606.ENSP00000268053	10
CYP21A2	9606.ENSP00000496625	9
CYP2A6	9606.ENSP00000301141	11
CYP2A7	9606.ENSP00000301146	3
CYP2B6	9606.ENSP00000324648	13
CYP2D6	9606.ENSP00000496150	13
CYP2S1	9606.ENSP00000308032	7
CYP4X1	9606.ENSP00000360968	7
DAAM2	9606.ENSP00000381876	3
DAB2IP	9606.ENSP00000259371	9
DAGLA	9606.ENSP00000257215	0
DAPK1	9606.ENSP00000386135	12
DCAF15	9606.ENSP00000254337	3
DDIT4	9606.ENSP00000307305	6
DDX11	9606.ENSP00000440402	14
DDX24	9606.ENSP00000481495	15
DDX39A	9606.ENSP00000242776	10
DDX39B	9606.ENSP00000416269	24
DDX3X	9606.ENSP00000494040	27
DEF8	9606.ENSP00000268676	1
DEGS2	9606.ENSP00000307126	3
DELE1	9606.ENSP00000396225	0
DENND3	9606.ENSP00000428714	1
DENND4C	9606.ENSP00000473469	1
DEPDC4	9606.ENSP00000396234	3
DERL3	9606.ENSP00000384744	5
DGKA	9606.ENSP00000377703	5
DGKI	9606.ENSP00000288490	6
DGLUCY	9606.ENSP00000428263	1
DIDO1	9606.ENSP00000266070	14
DIP2C	9606.ENSP00000280886	9
DKK4	9606.ENSP00000220812	3
DMXL1	9606.ENSP00000439479	5
DNAH11	9606.ENSP00000475939	8
DNAH17	9606.ENSP00000374490	9
DNAH3	9606.ENSP00000261383	7
DNAH8	9606.ENSP00000333363	12
DNAI2	9606.ENSP00000400252	7
DNASE1L1	9606.ENSP00000358824	0
DNMBP	9606.ENSP00000315659	6
DNMT1	9606.ENSP00000352516	39
DOCK1	9606.ENSP00000485033	14
DOCK4	9606.ENSP00000410746	29
DOT1L	9606.ENSP00000381657	20
DPF2	9606.ENSP00000252268	8
DRC1	9606.ENSP00000288710	8
DTX1	9606.ENSP00000257600	7
DUX4	9606.ENSP00000458065	6
EBF2	9606.ENSP00000430241	2
ECHDC2	9606.ENSP00000360577	12
EFCAB6	9606.ENSP00000262726	4
EFHC2	9606.ENSP00000404232	2
EIF2AK2	9606.ENSP00000233057	15
EIF6	9606.ENSP00000363559	20
ELAVL1	9606.ENSP00000385269	33
ELF4	9606.ENSP00000311280	2
ELK4	9606.ENSP00000350681	3
ELMOD3	9606.ENSP00000386248	0
ENPP1	9606.ENSP00000498074	13
ENSP00000496315	9606.ENSP00000496315	0
ENTR1	9606.ENSP00000349929	2
EPB41L5	9606.ENSP00000263713	2
EPB42	9606.ENSP00000497777	4
EPHB1	9606.ENSP00000381097	8
EPHB2	9606.ENSP00000383053	16
EPHB6	9606.ENSP00000481994	9
EPS15	9606.ENSP00000360798	18
ERBB4	9606.ENSP00000342235	27
ERMAP	9606.ENSP00000361595	3
ETFA	9606.ENSP00000452762	20
EVL	9606.ENSP00000376652	3
EVX1	9606.ENSP00000419266	0
EVX2	9606.ENSP00000312385	1
EXT2	9606.ENSP00000379032	5
F13A1	9606.ENSP00000264870	5
FAM135B	9606.ENSP00000378710	1
FAM166C	9606.ENSP00000332875	1
FAM171A1	9606.ENSP00000367356	1
FAM20C	9606.ENSP00000322323	12
FAM71F1	9606.ENSP00000326652	0
FAM78B	9606.ENSP00000346404	0
FAM83C	9606.ENSP00000363529	0
FAM83E	9606.ENSP00000263266	0
FANCI	9606.ENSP00000310842	18
FAT2	9606.ENSP00000261800	6
FAT3	9606.ENSP00000432586	5
FBF1	9606.ENSP00000490726	4
FBH1	9606.ENSP00000369335	15
FBLN1	9606.ENSP00000331544	15
FBLN2	9606.ENSP00000384169	10
FBN1	9606.ENSP00000325527	17
FBN3	9606.ENSP00000270509	3
FBXL19	9606.ENSP00000369666	7
FBXL6	9606.ENSP00000330098	3
FBXO16	9606.ENSP00000369604	2
FBXO21	9606.ENSP00000328187	3
FBXW7	9606.ENSP00000474725	41
FCER2	9606.ENSP00000264072	4
FCGBP	9606.ENSP00000481056	2
FCHO1	9606.ENSP00000473001	6
FCHO2	9606.ENSP00000393776	9
FCN1	9606.ENSP00000360871	9
FEZ1	9606.ENSP00000497070	7
FHIT	9606.ENSP00000418582	15
FILIP1	9606.ENSP00000237172	3
FKBP7	9606.ENSP00000413152	0
FLI1	9606.ENSP00000433488	10
FLII	9606.ENSP00000324573	8
FLNC	9606.ENSP00000327145	21
FMN2	9606.ENSP00000318884	3
FMO5	9606.ENSP00000254090	3
FREM1	9606.ENSP00000412940	3
FRMD1	9606.ENSP00000283309	3
FRMD3	9606.ENSP00000303508	3
FRMPD3	9606.ENSP00000276185	0
FSTL4	9606.ENSP00000265342	2
G3BP1	9606.ENSP00000377681	21
G6PC3	9606.ENSP00000269097	9
GABARAP	9606.ENSP00000306866	15
GABRA5	9606.ENSP00000382953	11
GABRB3	9606.ENSP00000308725	8
GAGE2E	9606.ENSP00000478568	14
GALE	9606.ENSP00000483375	6
GALNS	9606.ENSP00000268695	4
GALNT10	9606.ENSP00000297107	5
GALNT14	9606.ENSP00000314500	4
GALNT17	9606.ENSP00000329654	4
GATB	9606.ENSP00000263985	8
GDPD4	9606.ENSP00000320815	0
GGA2	9606.ENSP00000311962	6
GGACT	9606.ENSP00000365426	0
GGN	9606.ENSP00000334940	0
GGTLC2	9606.ENSP00000415676	1
GIGYF2	9606.ENSP00000387170	10
GLIS1	9606.ENSP00000309653	0
GLP1R	9606.ENSP00000362353	9
GNA12	9606.ENSP00000275364	12
GNAQ	9606.ENSP00000286548	29
GNAT3	9606.ENSP00000381339	10
GNL2	9606.ENSP00000362153	22
GNPAT	9606.ENSP00000355607	10
GNS	9606.ENSP00000258145	4
GOLGA1	9606.ENSP00000362656	5
GOLGA6L9	9606.ENSP00000481078	2
GOLGA8B	9606.ENSP00000343064	1
GOLGA8F	9606.ENSP00000454322	0
GOLGA8K	9606.ENSP00000426691	1
GOLT1A	9606.ENSP00000308535	5
GPAT2	9606.ENSP00000389395	3
GPATCH11	9606.ENSP00000386772	3
GPC2	9606.ENSP00000292377	4
GPR107	9606.ENSP00000361483	4
GPRC5C	9606.ENSP00000499092	2
GRAMD1C	9606.ENSP00000350881	1
GRAP2	9606.ENSP00000339186	15
GRHL2	9606.ENSP00000495564	2
GRIK4	9606.ENSP00000435648	8
GRIPAP1	9606.ENSP00000365606	8
GSN	9606.ENSP00000362924	25
GSTT2B	9606.ENSP00000290765	6
GTF2A1L	9606.ENSP00000384597	5
GTF2F1	9606.ENSP00000377969	16
GTF2IRD1	9606.ENSP00000397566	1
GUCY1A2	9606.ENSP00000282249	6
GYPA	9606.ENSP00000354003	13
H1-10	9606.ENSP00000329662	1
H1-4	9606.ENSP00000307705	3
H2BC5	9606.ENSP00000289316	38
HAL	9606.ENSP00000261208	4
HAUS2	9606.ENSP00000260372	5
HAVCR1	9606.ENSP00000487363	6
HBP1	9606.ENSP00000222574	2
HCFC1	9606.ENSP00000309555	18
HCK	9606.ENSP00000365012	21
HDAC11	9606.ENSP00000295757	10
HDAC3	9606.ENSP00000302967	34
HDAC5	9606.ENSP00000225983	19
HDAC8	9606.ENSP00000362674	15
HDGFL3	9606.ENSP00000299633	1
HDHD5	9606.ENSP00000337358	1
HEATR4	9606.ENSP00000450444	2
