"","atr01","atr02","atr03","gas01","gas02"
"ACLY",648,151,506,434,291
"ACMSD",0,0,1,1,0
"ACO1",414,141,472,446,516
"ACO2",474.57,277.33,440.73,470.3,525.41
"ACOT1",15.11,5.34,22.57,18.5,28.39
"ACOT11",84.56,44.4,76.57,100.64,82
"ACOT12",0,0,0,0,0
"ACOT13",248.67,62.62,263.47,289.55,196.56
"ACOT2",30.89,10.66,46.43,39.5,45.61
"ACOT4",9,2,14,6,7
"ACOT6",0,0,0,1,0
"ACOT7",29,7,28,17,26
"ACOT8",28.88,8,29,35.26,34
"ACOT9",140,33,124,100,77
"ACOX1",1811,378,1551.61,1431,925.93
"ACOX2",27,2,28,15,5
"ACOX3",93,24,154,82,128
"ACOXL",24,1,16,7,5
"ACP1",447,115,574,487,362
"ACP2",80,19,62,63,77
"ACP5",83,8,71,49,44
"ACP6",63,25,56,29,37
"ACPP",86,19,83,57,41
"ACPT",0,0,1,0,0
"ACR",2,0,0,0,0
"ACRBP",5,2,10,8,6
"ACRC",45,26,38,40,35
"ACRV1",1,0,0,0,0
"ACSBG1",3,2,6,2,3
"ACSBG2",8,0,5,3,1
"ACSF2",117,38,138,113,82
"ACSF3",99,25,80,70,55
"ACSL1",330,169,333,324,203
"ACSL3",1166,505,1322,1671,978
"ACSL4",723,128,703,542,411
"ACSL5",1124,134,1221,704,626
"ACSL6",38.47,15,44.12,31.46,18.22
"ACSM1",7,5,26,8,20
"ACSM2A",0,0,0,0,0
"ACSM2B",0,0,0,0,0
"ACSM3",82.99,69.7,63.85,132.52,100.54
"ACSM4",0,2,0,0,1
"ACSM5",0,1,2,3,4
"ACSM6",8,6,5,5,9
"ACSS1",277,157,206,415,256
"ACSS2",373,154,388,401,416
"ACSS3",28,6,24,19,7
"ACTA1",1,0,1,1,0
"ACTA2",1070.84,86.72,380.17,314.4,260.81
"ACTA2-AS1",23.16,4.28,16.83,9.6,4.19
"ACTB",12806,1619,7679,5561,7223
"ACTBL2",0,0,0,1,0
"ACTC1",2,0,0,0,1
"ACTG1",7654,1168,6015,4377,5391
"ACTG1P17",13.36,4.01,3.81,7.74,6.28
"ACTG1P20",73.97,20,53.99,41,33.99
"ACTG1P4",9,1,12,6,7
"ACTG2",332,12,94,79,86
"ACTL10",3,1,6,3,1
"ACTL6A",202,47,242,162,96
"ACTL6B",0,1,2,0,0
"ACTL7A",1,0,0,0,0
"ACTL7B",0,0,0,0,0
"ACTL8",0,0,0,0,0
"ACTL9",0,0,0,0,1
"ACTN1",675,93,462,288,218
"ACTN1-AS1",0,0,0,0,0
"ACTN2",1,0,2,0,0
"ACTN3",1,0,1,0,0
"ACTN4",1530.53,328.03,1363.25,1014.58,1080.44
"ACTR10",257,57,219,183,132
"ACTR1A",387,97,303,223,292
"ACTR1B",128,26,104,89,60
"ACTR2",3546,481,2583,2116,1635
"ACTR3",2439,301,2692,1642,1389
"ACTR3B",31.78,18.06,19.7,32.06,22.06
"ACTR3BP2",0,0,1,2,1
"ACTR3BP5",0,1,0,0,0
"ACTR3C",27.22,8.94,28.3,32.94,15.94
"ACTR5",59,19,50,21,32
"ACTR6",114,14,92,90,53
"ACTR8",173,46,159,156,109
"ACTRT1",0,0,0,0,0
"ACTRT2",0,0,0,0,0
"ACTRT3",9,0,12,11,8
"ACVR1",215,42,155,154,118
"ACVR1B",245,63,296,283,184
"ACVR1C",71,46,88,110,37
"ACVR2A",296.93,79.18,266.08,290.51,181.53
"ACVR2B",167.97,91.98,151.43,222.72,138.42
"ACVR2B-AS1",3,11.86,10,17,9
"ACVRL1",109,12,65,45,22
"ACY1",49,8.94,37,21,23
"ACY3",19,5,22,14,17
"ACYP1",32,9,37,19,13
"ACYP2",11,5,10,14,4
"ADA",15,29,19,45,35
"ADAD1",1,0,0,0,0
"ADAD2",0,0,0,0,0
"ADAL",47.55,21,55,48,18
"ADAM10",1516,276,1533,1215,791
"ADAM11",0,0,0,1,0
"ADAM12",58,8,51,40,41
"ADAM15",120,35,154,88,148
"ADAM17",317,54,296,213,103
"ADAM18",0,0,0,0,1
"ADAM19",505,53,359,172,134
"ADAM1A",76,22,58,62,16
"ADAM2",0,0,0,0,0
"ADAM20",29,12,18,21,10
"ADAM20P1",13,9,2,15,11
"ADAM21",9,6.82,4,6,9
"ADAM21P1",0,1.18,0,0,0
"ADAM22",69,15,59,40,18
"ADAM23",42,7,28,24,14
"ADAM28",1945,741,2352,2373,1885
"ADAM29",0,0,1,1,0
"ADAM30",0,0,0,0,0
"ADAM32",3,0,4,2,1
"ADAM33",26,3,17,13,11
"ADAM3A",0,0,0,0,0
"ADAM5",0,0,0,0,0
"ADAM6",0,0,0,0,0
"ADAM7",0,0,0,0,0
"ADAM8",90,9,67,38,13
"ADAM9",1635,331,1732,1469,1346
"ADAMDEC1",284,5,250,135,140
"ADAMTS1",63,17,50,52,31
"ADAMTS10",28,7,12,16,7
"ADAMTS12",16,1,7,10,16
"ADAMTS13",32,13,27,31,17
"ADAMTS14",13,5,4,6,8
"ADAMTS15",170,49,169,120,184
"ADAMTS16",2,1,1,3,2
"ADAMTS17",44.01,15.01,33,42,16.02
"ADAMTS18",4,0,5,0,0
"ADAMTS19",1,2,0,0,2
"ADAMTS19-AS1",0,0,0,0,0
"ADAMTS2",58,16,39,54,34
"ADAMTS20",0,0,0,0,0
"ADAMTS3",13,3,10,15,3
"ADAMTS4",13.95,6.02,12.89,4.29,3.26
"ADAMTS5",73,16,33,50,38
"ADAMTS6",58,9,39,19,17
"ADAMTS7",7,4,1,7,5
"ADAMTS7P1",1,1,5,0,0
"ADAMTS8",6,5,3,7,4
"ADAMTS9",111.95,27,88,92,38
"ADAMTS9-AS1",3.05,2,6,6,1
"ADAMTS9-AS2",32,10,10,15,13
"ADAMTSL1",118,35,78,105,31
"ADAMTSL2",19.85,9.02,16.88,16.95,11.54
"ADAMTSL3",79,37,62,111,57
