"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MUC13",596.325608976349,-1.26973754029548,0.491384075567145,-2.58400221625003,0.0097661166794534,0.999986993796386
"HIST1H4K",24.6854045926522,2.54814384040262,0.987343470913911,2.58080791079116,0.00985694108752236,0.999986993796386
"EIF3CL",563.850615391512,-0.938868341721488,0.364490162488477,-2.57584000432706,0.00999969054326024,0.999986993796386
"RTEL1",59.3517340734544,1.17937564882481,0.458922172202565,2.5698816057731,0.0101733276667112,0.999986993796386
"OAS3",412.412656302268,-0.864928653877993,0.336941525014205,-2.5669992852366,0.0102582823871844,0.999986993796386
"GBP4",510.877274593215,-1.08810541426191,0.424470729584189,-2.56344039394145,0.0103640494886667,0.999986993796386
"PIK3CD",91.2632844677154,0.961707956144649,0.375706005352855,2.55973538469643,0.0104751890370234,0.999986993796386
"ATXN7L3B",1154.50159242511,-0.748262376118801,0.292646267678773,-2.55688337341156,0.0105614620489694,0.999986993796386
"GABRP",68.5133712232999,1.51891659592524,0.594865199852119,2.55337948211264,0.0106683191672127,0.999986993796386
"BCAS4",7.57919174852775,3.65850995207257,1.43606661023626,2.54759070783678,0.0108469649673308,0.999986993796386
"CD22",121.933113966899,1.74834381039525,0.686557403911266,2.54653696899205,0.010879768680841,0.999986993796386
"FMO3",21.6676682895249,2.04391245444267,0.803651922152581,2.54328073896477,0.01098169558201,0.999986993796386
"SULT1B1",552.586595713129,-0.702052365457443,0.27641772920561,-2.53982393775918,0.0110908284546263,0.999986993796386
"SH3BP5",59.5361102498494,1.56728927074323,0.617531634960866,2.5379902534751,0.0111491089384014,0.999986993796386
"LOC286297",15.803892114892,1.93279475668164,0.76258397460363,2.53453366586448,0.011259710712491,0.999986993796386
"FCAMR",9.36624565394607,3.99852926304761,1.57842299046923,2.53324317194528,0.0113012522599883,0.999986993796386
"CCL20",45.250402571692,1.40671126986736,0.55545973995872,2.53251706410244,0.011324685756364,0.999986993796386
"SNX29P2",33.8565514683526,1.57491517765383,0.621959030691612,2.532184758058,0.011335424568367,0.999986993796386
"NWD2",5.10732069170753,-3.4627127089777,1.36833873274353,-2.5305961353845,0.0113868875680079,0.999986993796386
"MED12L",11.8084311092301,2.30679783178753,0.913521357382219,2.52517121044425,0.011564193499583,0.999986993796386
"AFF3",159.164805646747,0.764073796448068,0.302899037082714,2.52253623453884,0.0116511945951619,0.999986993796386
"KIAA1211",74.3439467906646,1.22380634900402,0.487585090264378,2.50993390372222,0.0120753761364597,0.999986993796386
"FAM65B",149.196670996935,1.34007275759541,0.534814023635365,2.50567991558328,0.0122216202293656,0.999986993796386
"ABCC6",42.7861279367474,-1.41940138753327,0.566776789094174,-2.50433930048858,0.012268032147738,0.999986993796386
"CYP1B1",31.1576585598613,1.61935917650391,0.648300141795385,2.49785411432937,0.012494760199536,0.999986993796386
"GP2",50.0856879879442,2.29735185867252,0.921005482231221,2.49439542217161,0.0126171899785005,0.999986993796386
"ARHGEF26",76.404596455497,-1.14723418630981,0.460355172615636,-2.49206320370308,0.0127003435246267,0.999986993796386
"AQP10",3.56672364786803,-4.49570498006166,1.80512321477469,-2.49052526900376,0.0127554425135098,0.999986993796386
"MUC5AC",21271.5720437301,-0.741246030793822,0.297670634859175,-2.49015503710837,0.0127687382203839,0.999986993796386
"CXCL11",24.4244884976289,-1.67032032406728,0.671839553593742,-2.48618932173993,0.0129119254669553,0.999986993796386
"MUC16",20.6659891563185,2.10189813547197,0.845763102412588,2.48520907270154,0.0129475368475128,0.999986993796386
"MICAL3",216.888470926758,0.768843208828584,0.309508747742249,2.48407586033354,0.0129888134788681,0.999986993796386
"FILIP1",29.3393600814515,1.48065868186,0.598285743190157,2.47483530856826,0.0133297627979675,0.999986993796386
"P3H2",252.412278493679,-0.978574278166657,0.396465351716992,-2.46824665491876,0.013577672550727,0.999986993796386
"RPPH1",580.936722136891,0.622552144550733,0.252326619829055,2.46724719323113,0.0136156327506438,0.999986993796386
"DPYSL3",142.760937407504,1.18020927802784,0.478378259509409,2.46710475354415,0.0136210503276608,0.999986993796386
"HMCN1",112.157183755271,1.44036500686713,0.584028775135795,2.46625691779009,0.0136533364845116,0.999986993796386
"FMNL3",267.617980759962,0.78150051012911,0.31754698534161,2.46105472954935,0.0138529232360717,0.999986993796386
"PRELP",16.5738953783273,2.35387469193365,0.957594788627983,2.45811142655258,0.0139669831315239,0.999986993796386
"MPC1",215.827383347447,-0.707568417433553,0.28866858555825,-2.45114450561083,0.0142402771569549,0.999986993796386
"LOC284578",13.5434632507571,-2.10491233271165,0.860838137303826,-2.44518945141569,0.01447760697974,0.999986993796386
"DUOXA2",104.863729709885,-1.55986794574329,0.637965342637373,-2.44506690488035,0.0144825272998181,0.999986993796386
"RABEP1",633.740865426795,0.598336079981801,0.244728619581394,2.44489623242778,0.0144893823624897,0.999986993796386
"SERPINA9",9.57081996563451,3.5107224341463,1.44063944943079,2.43691954675642,0.0148129746669162,0.999986993796386
"LINC01278",57.1237562802956,-1.10784346443785,0.455739705370628,-2.43086887401417,0.0150626647263871,0.999986993796386
"FAM216B",8.66595657709437,4.04846278150736,1.66661829831041,2.42914816524672,0.0151343460410168,0.999986993796386
"SETD9",12.3283010261684,2.01895002644476,0.83208699436029,2.42636892551954,0.0152507582170539,0.999986993796386
"GOLGA8K",6.59710740875066,3.36786159346114,1.39068509564891,2.42172840134571,0.0154468905635208,0.999986993796386
"RGS13",25.6424665675597,2.47519830045402,1.02286785864922,2.4198612553167,0.0155264299168216,0.999986993796386
"GAPT",47.9642404139721,1.82596714912939,0.755509130323924,2.41686973173508,0.0156546185301324,0.999986993796386
"SMOC2",31.1640132833188,1.69879794511397,0.703253621184802,2.41562630314214,0.0157081735511409,0.999986993796386
"KANK4",37.1866228819299,1.45846014367477,0.604921913542653,2.410989106236,0.0159093236275941,0.999986993796386
"CXCL10",50.1352956272069,-1.56118975625656,0.647541606539424,-2.41094894982862,0.0159110753592815,0.999986993796386
"ADIPOR2",736.205278727714,-0.596192766513702,0.24775880796237,-2.40634337651581,0.0161131116140105,0.999986993796386
"CD79B",49.4890423708355,1.55521034594123,0.646468507526021,2.40570163563401,0.0161414416105298,0.999986993796386
"CLDN1",8.68109812529065,2.58641123445565,1.07778535534858,2.39974612906032,0.0164064459546834,0.999986993796386
"LMO4",524.716679540311,-0.605158612589312,0.252936548672506,-2.39253131176725,0.0167326002914654,0.999986993796386
"MILR1",5.29318534257382,4.11782089136362,1.72285897304527,2.39010908947765,0.0168433690031756,0.999986993796386
"DNAJB4",83.8346127987556,-0.88284942286253,0.369388402863762,-2.39003015800727,0.0168469893587928,0.999986993796386
"AGPAT9",114.118516996068,-0.844631986412875,0.35372178380804,-2.38784272011713,0.0169475928695867,0.999986993796386
"SCARNA6",55.6502791250236,1.02735468297712,0.431435909568421,2.38124518657896,0.0172542233467781,0.999986993796386
"FCMR",80.7882525398212,1.54293409449069,0.648176250520688,2.38042367836099,0.0172927428396781,0.999986993796386
"KCNK10",52.9031833595109,-1.07593879613759,0.452399765919015,-2.37829211505427,0.0173930411116089,0.999986993796386
"WASL",643.749235164788,-0.537613496030824,0.226241250859274,-2.37628413911673,0.0174879903586009,0.999986993796386
"LINC00926",33.801552446757,1.48911908617229,0.626937355179284,2.37522788181357,0.01753811875518,0.999986993796386
"RALGDS",91.1486579894956,0.851773060921852,0.359875187902188,2.36685687025847,0.017939869226751,0.999986993796386
"LRMP",202.972266943953,1.49952570619554,0.63480207741409,2.36219407520523,0.0181671287855,0.999986993796386
"SI",7.00065042688176,-3.85223874213108,1.63483574449117,-2.35634604584087,0.0184557160646109,0.999986993796386
"RFTN1",110.972770131966,1.14527105015054,0.486486387275969,2.35416874984595,0.0185641813159024,0.999986993796386
"ZNF695",9.49405423120833,2.52147802719719,1.07203696588635,2.35204391959791,0.0186705702942428,0.999986993796386
"IFI44L",122.368813773838,-1.2288137674396,0.522477069306831,-2.35189990073606,0.0186778004963824,0.999986993796386
"C1D",43.9695547666252,-1.10099680789766,0.468864873598448,-2.34821772731176,0.0188634910223271,0.999986993796386
"PKD1L1",8.17159404319883,2.70858397106146,1.15514616044586,2.34479762285321,0.0190374097455112,0.999986993796386
"TMEM178B",14.4187710053235,1.98073430285684,0.844768295796072,2.34470719688916,0.0190420270364499,0.999986993796386
"CKM",17.6893422499617,-2.53948206044878,1.08338060975112,-2.3440349934195,0.0190763814979243,0.999986993796386
"SNX22",33.8050055295222,1.16652175786942,0.498328976912127,2.34086680067798,0.019239029604643,0.999986993796386
"TRIM31",245.578222239315,-1.03865100528125,0.444256133084279,-2.33795535487679,0.0193895642421678,0.999986993796386
"CHRFAM7A",20.0600961231852,-1.5636500065658,0.669936937155067,-2.33402566696194,0.0195943779804201,0.999986993796386
"IL33",96.7000584756041,-1.09826153418464,0.472850748514033,-2.3226388826411,0.0201985600745738,0.999986993796386
"PRKCD",217.872442963787,-0.743576372920848,0.321041803203804,-2.31613567298839,0.0205508620946427,0.999986993796386
"NIN",662.922466751527,0.62975650573899,0.271987357422964,2.31538889051988,0.0205916589584849,0.999986993796386
"KHDRBS2",2.92136075849089,4.75002760619367,2.05378578516951,2.31281550417471,0.0207327849874716,0.999986993796386
"FCER2",9.17173851353938,3.55036345718716,1.53795278462309,2.30849964490767,0.0209713625626359,0.999986993796386
"NOMO3",150.582958768115,-0.883790212733863,0.383415439350726,-2.3050459684943,0.0211639990588723,0.999986993796386
"G0S2",45.1644763147312,-1.34088247188043,0.581787900463549,-2.30476170235246,0.0211799230800507,0.999986993796386
"DUOX2",2259.6271981957,-0.963459401760544,0.418281481444217,-2.30337570392543,0.0212577135354714,0.999986993796386
"CACNA1D",34.526255373073,1.39315341338352,0.605152832565307,2.30215135485328,0.0213266381656986,0.999986993796386
"IHH",36.6295580006304,-1.21354678776064,0.527847349129202,-2.29904874915569,0.021502171270158,0.999986993796386
"KLK11",55.3864985328037,-1.50169021713211,0.653832538393856,-2.29675051171515,0.021633006142489,0.999986993796386
"PAPSS1",448.976194668256,-0.666131596731112,0.291121935866685,-2.28815322606318,0.0221285995152382,0.999986993796386
"DGKK",4.1658459993064,-4.56747834025112,1.99618469698485,-2.28810407531432,0.0221314609820637,0.999986993796386
"PQLC2L",22.4055887043734,1.51277913698487,0.664875639187498,2.27528134258844,0.0228890579371143,0.999986993796386
"COL6A3",233.174264625592,1.14214101436555,0.502363766977109,2.2735338203991,0.0229940304387567,0.999986993796386
"ARHGEF35",197.723883192409,-0.846607700111536,0.37266967932577,-2.27173753883925,0.0231023674397324,0.999986993796386
"PGD",367.310834514358,-0.820318687711382,0.361239742885151,-2.27084285123131,0.0231564928532838,0.999986993796386
"WTAPP1",10.1899469460428,2.6168792036672,1.15239342833471,2.27082100550397,0.023157815817955,0.999986993796386
"FRZB",26.2256827184045,1.27441880163879,0.562295604271206,2.26645698802958,0.0234234177894096,0.999986993796386
