"","ctl","atr"
"A1BG",4.23824165992165,0.641894652137329
"A1BG-AS1",7.59654579199651,5.83391067155948
"A1CF",22.6944537536138,24.3259633092098
"A2M",1400.14279642182,1352.01730085167
"A2M-AS1",14.7134475102074,10.8655720198238
"A2ML1",0.66551474275938,0.366486976739421
"A2MP1",1.36011683020795,0.427653224198069
"A4GALT",11.5947227934532,16.2085390498196
"A4GNT",109.727905234661,133.152266377183
"AAAS",33.4742674622344,58.8687862066574
"AACS",114.359628888379,110.989268743664
"AACSP1",0.559852158826289,1.28417123441332
"AADAC",115.874282484561,79.9105538286708
"AADACL2",0.400277381802076,0
"AADACL2-AS1",1.13726510700951,0.714162385117288
"AADACP1",4.96509545560992,9.00223608582973
"AADAT",20.9336090966031,22.13809020831
"AAED1",15.8579354580733,14.7683675511492
"AAGAB",291.706882530958,306.619262637062
"AAK1",828.405861242108,771.607991517316
"AAMDC",40.4709555550712,28.7068680709566
"AAMP",211.417000610104,158.78996188235
"AAR2",62.4623935391283,57.6970227186261
"AARD",0,0.883017845321043
"AARS",424.803086578257,480.400812858424
"AARS2",75.40409304649,93.899614901607
"AARSD1",30.3936337840288,32.6296155160507
"AASDH",70.4280884416657,72.3185576104163
"AASDHPPT",173.505940829394,157.942431315801
"AASS",236.065031445806,199.731628169611
"AATBC",9.5209110595139,20.4934778825413
"AATF",176.328739420945,151.546262188655
"AATK",18.1590781119837,9.1792305042652
"ABALON",23.111491003755,24.0838824993328
"ABAT",81.8627368099285,113.104885332418
"ABCA1",432.928212071096,363.363754217948
"ABCA10",56.5870325133145,50.774477780558
"ABCA11P",27.828967862728,29.3529154425537
"ABCA12",1.55771665627086,5.41258662111256
"ABCA13",1.52078418376532,7.62105989042841
"ABCA17P",0.399254054752032,2.14081664702434
"ABCA2",64.8449785344556,91.4808778630773
"ABCA3",14.6997270756574,24.4057132984873
"ABCA4",0,0.803447067257758
"ABCA5",646.61043741651,596.528616796927
"ABCA6",98.724735833403,108.77859947631
"ABCA7",29.3439268865179,44.1213075846061
"ABCA8",382.25539297959,333.396725570229
"ABCA9",53.0251342556449,46.0625982692648
"ABCB1",49.2530901210489,61.8282777191539
"ABCB10",86.108865458762,85.8582378768001
"ABCB11",1.35893943939514,1.73909407258644
"ABCB4",7.16245244971719,33.8652054089032
"ABCB5",2.49173894245911,7.6286205534636
"ABCB6",41.8169294258757,36.6284831295638
"ABCB7",102.434764702166,116.541292060247
"ABCB8",27.9175992389647,33.9211517778122
"ABCB9",3.68115683294622,3.66935253086858
"ABCC1",317.287797900073,395.311435898849
"ABCC10",54.3640237251134,69.9941060456621
"ABCC11",0.569377632890425,2.88249947886355
"ABCC12",2.31867100366816,5.62272882064826
"ABCC13",1.34537896401924,0.665911225873786
"ABCC2",8.23873415678279,5.40544138758414
"ABCC3",753.597653609179,710.595752741891
"ABCC4",136.183630556468,159.914705653016
"ABCC5",961.691497340086,1085.34782672596
"ABCC5-AS1",0.811016689827,8.02174712834107
"ABCC6",69.1496343435113,25.2104569989049
"ABCC6P1",51.9787530254225,27.6927633260411
"ABCC6P2",10.6436827579696,7.72872478512789
"ABCC8",2.5564331111993,7.17431677682844
"ABCC9",3001.22992513072,2751.75457837507
"ABCD1",12.7918051916959,13.672419811055
"ABCD2",53.3963441149787,50.0221329638014
"ABCD3",896.318322452058,824.95399532132
"ABCD4",90.5280812613981,102.528613629514
"ABCE1",260.863741401801,303.041380130761
"ABCF1",194.105626185746,202.57757318838
"ABCF2",124.724878119445,128.971036505451
"ABCF3",95.0844557014756,112.077187910327
"ABCG1",206.207113858362,173.119855534191
"ABCG2",29.0711128328587,18.858556953372
"ABCG4",0,0.21965876154476
"ABCG5",2.80064259518627,2.67574185333471
"ABCG8",0.959661870839303,1.73921925130797
"ABHD1",4.3970636193984,1.76662747467266
"ABHD10",155.846191033928,151.412810729919
"ABHD11",25.7441887127266,28.3124294867271
